Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16642228k(9220620k free), swap 20705460k(9769332k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.089: [GC (Allocation Failure) 0.089: [DefNew: 896K->63K(960K), 0.0011627 secs] 1199K->766K(524224K), 0.0012707 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.110: [GC (Allocation Failure) 0.111: [DefNew: 959K->64K(960K), 0.0010532 secs] 1898K->1447K(524224K), 0.0010996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.115: [GC (Allocation Failure) 0.115: [DefNew: 960K->63K(960K), 0.0006419 secs] 2378K->1911K(524224K), 0.0006841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.118: [GC (Allocation Failure) 0.118: [DefNew: 959K->64K(960K), 0.0004406 secs] 2904K->2322K(524224K), 0.0004721 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.122: [GC (Allocation Failure) 0.122: [DefNew: 960K->63K(960K), 0.0004730 secs] 3291K->2712K(524224K), 0.0005078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.127: [GC (Allocation Failure) 0.127: [DefNew: 959K->64K(960K), 0.0012128 secs] 3651K->3342K(524224K), 0.0012860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.130: [GC (Allocation Failure) 0.130: [DefNew: 960K->63K(960K), 0.0006511 secs] 4258K->3803K(524224K), 0.0006906 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.134: [GC (Allocation Failure) 0.134: [DefNew: 959K->64K(960K), 0.0005347 secs] 4725K->4118K(524224K), 0.0005732 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.138: [GC (Allocation Failure) 0.138: [DefNew: 960K->63K(960K), 0.0004406 secs] 5023K->4387K(524224K), 0.0004712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.140: [GC (Allocation Failure) 0.140: [DefNew: 959K->63K(960K), 0.0006363 secs] 5290K->4658K(524224K), 0.0006989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.145: [GC (Allocation Failure) 0.145: [DefNew: 959K->64K(960K), 0.0006530 secs] 5620K->4981K(524224K), 0.0006966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.147: [GC (Allocation Failure) 0.147: [DefNew: 960K->63K(960K), 0.0014103 secs] 5887K->5317K(524224K), 0.0015337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.152: [GC (Allocation Failure) 0.152: [DefNew: 959K->63K(960K), 0.0004990 secs] 6224K->5592K(524224K), 0.0005278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.156: [GC (Allocation Failure) 0.156: [DefNew: 959K->63K(960K), 0.0004907 secs] 6509K->5862K(524224K), 0.0005241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.158: [GC (Allocation Failure) 0.158: [DefNew: 959K->63K(960K), 0.0005588 secs] 6783K->6141K(524224K), 0.0005936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.162: [GC (Allocation Failure) 0.162: [DefNew: 959K->64K(960K), 0.0005514 secs] 7061K->6440K(524224K), 0.0005918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
